language_prediction,language_prediction_en,language_prediction_mixed,language_prediction_other,language_prediction_punc,language_prediction_sw,letterCase,nextEnScore,nextMixedScore,nextOtherScore,nextSwScore,prevEnScore,prevMixedScore,prevOtherScore,prevSwScore,swRegex,text
sw,0.220312002,0.111798041,3.94E-04,1.41E-04,0.667355208,,9.55E-04,1.27E-04,0.004323167,0.994594917,0,0,0,0,,Post:378466
sw,3.89E-04,1.44E-04,0.003327306,1.33E-05,0.996126932,initcap,0.00228555,2.12E-05,3.35E-04,0.997358079,0,0,0,0,1,#naona#
sw,2.37E-05,4.44E-05,3.98E-04,3.14E-06,0.999530588,lower,2.36E-05,3.23E-05,2.15E-04,0.999729351,9.55E-04,1.27E-04,0.004323167,0.994594917,1,#kwanza#
sw,4.66E-07,5.77E-05,2.46E-04,4.31E-07,0.99969503,lower,0.012584399,3.97E-06,2.39E-04,0.987172897,0.00228555,2.12E-05,3.35E-04,0.997358079,1,#hujiamini#
sw,1.43E-04,1.22E-05,1.11E-04,2.02E-05,0.999713908,lower,7.35E-04,1.82E-05,0.001053456,0.998193124,2.36E-05,3.23E-05,2.15E-04,0.999729351,1,#pia#
sw,5.06E-06,3.32E-05,0.001064508,5.96E-06,0.998891217,lower,8.96E-04,7.17E-06,0.02131716,0.97777934,0.012584399,3.97E-06,2.39E-04,0.987172897,1,#huna#
sw,8.44E-05,2.18E-05,0.008753986,1.67E-06,0.991138128,lower,0.00366156,9.01E-06,4.32E-04,0.995897354,7.35E-04,1.82E-05,0.001053456,0.998193124,1,#ajenda#
sw,2.86E-04,2.05E-05,3.02E-04,5.37E-06,0.999386443,lower,0.121965913,3.57E-04,8.45E-04,0.876832272,8.96E-04,7.17E-06,0.02131716,0.97777934,1,#wala#
sw,0.091616975,2.39E-04,5.57E-04,1.52E-06,0.907585935,lower,0.976158479,1.03E-04,3.27E-05,0.023705563,0.00366156,9.01E-06,4.32E-04,0.995897354,1,#maono#
en,0.637240904,3.42E-04,3.73E-05,1.05E-05,0.362369297,lower,0.11755672,5.96E-06,0.002860789,0.879576533,0.121965913,3.57E-04,8.45E-04,0.876832272,0,#vision#
sw,0.389991505,5.48E-06,0.001407509,1.73E-05,0.608578232,lower,0.001549776,1.38E-05,0.002220847,0.99621558,0.976158479,1.03E-04,3.27E-05,0.023705563,1,#cha#
sw,1.81E-04,3.50E-05,0.001332289,1.60E-06,0.998449911,lower,2.00E-04,1.68E-04,0.006008694,0.993622983,0.11755672,5.96E-06,0.002860789,0.879576533,1,#msingi#
sw,2.61E-06,2.96E-04,0.00473014,2.66E-06,0.994968257,lower,0.017109315,1.82E-05,0.003999872,0.978872578,0.001549776,1.38E-05,0.002220847,0.99621558,1,#ungekuja#
sw,1.51E-04,3.98E-05,0.00277876,2.02E-05,0.997010547,lower,0.019533282,3.91E-05,3.64E-04,0.980063402,2.00E-04,1.68E-04,0.006008694,0.993622983,1,#na#
sw,1.34E-04,9.19E-05,3.01E-04,8.70E-06,0.999464233,lower,5.43E-05,5.99E-06,7.15E-06,0.999932533,0.017109315,1.82E-05,0.003999872,0.978872578,1,#nini#
